DATE,AVG_FARE
2006-01-01,339.01
2006-04-01,364.66
2006-07-01,364.66
2006-10-01,347.62
2007-01-01,347.8
2007-04-01,355.36
2007-07-01,354.43
2007-10-01,354.43
2008-01-01,357.38
2008-04-01,362.11
2008-07-01,353.04
2008-10-01,367.9
2009-01-01,322.13
2009-04-01,322.13
2009-07-01,322.13
2009-10-01,322.98
2010-01-01,379.7
2010-04-01,349.79
2010-07-01,351.76
2010-10-01,351.76
2011-01-01,391.77
2011-04-01,372.53
2011-07-01,369.64
2011-10-01,379.7
2012-01-01,393.78
2012-04-01,404.25
2012-07-01,390.21
2012-10-01,391.77
2013-01-01,401.23
2013-04-01,397.33
2013-07-01,407.19
2013-10-01,404.9
2014-01-01,410.61
2014-04-01,427.15
2014-07-01,427.15
2014-10-01,427.15
2015-01-01,420.44
2015-04-01,415.61
2015-07-01,400.77
2015-10-01,393.66
2016-01-01,385.46
2016-04-01,380.34
2016-07-01,368.68
2016-10-01,371.24
2017-01-01,370.41
2017-04-01,381.3
2017-07-01,359.62
2017-10-01,364.17
