Date,AVG_FARE,oil,cpi
2006-01-01,339.01,63.26666666666667,1.4933333333333332
2006-04-01,364.66,70.41000000000001,1.25
2006-07-01,364.66,70.41666666666667,1.2466666666666668
2006-10-01,347.62,59.97666666666667,1.0066666666666668
2007-01-01,347.8,58.07666666666666,1.1066666666666667
2007-04-01,355.36,64.97333333333334,1.4233333333333331
2007-07-01,354.43,75.46333333333334,1.0833333333333333
2007-10-01,354.43,90.75333333333333,1.6166666666666665
2008-01-01,357.38,97.93666666666667,1.7133333333333336
2008-04-01,362.11,123.95333333333333,2.45
2008-07-01,353.04,118.05000000000001,2.953333333333333
2008-10-01,367.9,58.34666666666667,3.3533333333333335
2009-01-01,322.13,42.913333333333334,2.69
2009-04-01,322.13,59.44,2.6666666666666665
2009-07-01,322.13,68.2,2.64
2009-10-01,322.98,76.05999999999999,3.546666666666667
2010-01-01,379.7,78.64,3.9299999999999997
2010-04-01,349.79,77.79,4.390000000000001
2010-07-01,351.76,76.05333333333333,4.646666666666667
2010-10-01,351.76,85.09666666666666,4.6000000000000005
2011-01-01,391.77,93.53666666666668,5.426666666666667
2011-04-01,372.53,102.23,5.543333333333334
2011-07-01,369.64,89.71666666666665,5.766666666666667
2011-10-01,379.7,94.01333333333332,6.176666666666667
2012-01-01,393.78,102.87666666666667,5.973333333333333
2012-04-01,404.25,93.42333333333333,5.8
2012-07-01,390.21,92.18,5.63
2012-10-01,391.77,87.96,5.286666666666666
2013-01-01,401.23,94.33666666666666,4.503333333333334
2013-04-01,397.33,97.48666666666666,4.3533333333333335
2013-07-01,407.19,104.46666666666668,3.453333333333333
2013-10-01,404.9,95.37,3.5
2014-01-01,410.61,101.23,2.9633333333333334
2014-04-01,427.15,103.85333333333335,3.1833333333333336
2014-07-01,427.15,91.38333333333333,3.65
2014-10-01,427.15,60.76666666666667,5.06
2015-01-01,420.44,50.95000000000001,6.37
2015-04-01,415.61,56.66,7.803333333333334
2015-07-01,400.77,44.85666666666666,9.373333333333333
2015-10-01,393.66,37.10333333333333,10.396666666666667
2016-01-01,385.46,36.21,11.439999999999998
2016-04-01,380.34,46.70666666666667,12.199999999999998
2016-07-01,368.68,46.56,11.093333333333334
2016-10-01,371.24,50.04333333333333,9.799999999999999
2017-01-01,370.41,51.28666666666667,7.983333333333333
2017-04-01,381.3,47.71666666666667,6.6499999999999995
2017-07-01,359.62,52.68000000000001,6.03
2017-10-01,364.17,61.27,5.433333333333334
